trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
179,0.5,10.5,265.6427469,266.1434784,266.1434784,266.1434784,266.4431349,right,10.5,1,1,0.4754351,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
180,0.5,10.5,266.6417452,267.1265095,267.1265095,267.1434811,267.4264903,right,10.5,1,1,0.4904705,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
181,0.5,10.5,267.6425465,268.1433795,268.1433795,268.1433795,268.4433526,right,10.5,1,1,0.3106801,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
182,0.5,10,268.4760709,268.9752999,268.9752999,268.9752999,269.2764968,right,10,1,1,0.5540979,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
183,0.5,10,269.5597607,270.0599014,270.0599014,270.0599014,270.3599295,left,-10,1,1,0.5071149,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
184,0.5,10,270.5926336,271.0926726,271.0926726,271.0926726,271.3931102,left,-10,0,0,1.0925882,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
185,0.5,10.5,272.2091621,272.7097185,272.7097185,272.7097185,273.0242301,left,-10.5,1,1,0.475198,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
186,0.5,10.5,273.209061,273.7093987,273.7093987,273.7093987,274.0095484,right,10.5,1,1,0.8702451,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
187,0.5,10.5,274.6089995,275.1078083,275.1078083,275.1249639,275.4102569,left,-10.5,1,1,0.6291615,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
188,0.5,10,275.7591899,276.259124,276.259124,276.259124,276.559676,left,-10,1,1,0.4980255,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
189,0.5,10,276.7758879,277.2745066,277.2745066,277.2908495,277.5763212,left,-10,0,0,0.5994852,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
190,0.5,10.5,277.8919568,278.3764006,278.3764006,278.3928654,278.6759882,right,10.5,1,1,0.6718183,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
191,0.5,10.5,279.0760318,279.5746954,279.5746954,279.5746954,279.8760344,left,-10.5,1,1,0.6816318,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
192,0.5,10.5,280.2752733,280.7579382,280.7579382,280.7756549,281.0594313,left,-10.5,1,1,0.5304637,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
193,0.5,10,281.3084286,281.8094448,281.8094448,281.8094448,282.1094543,left,-10,1,1,0.6760293,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
194,0.5,10,282.5090374,283.0101261,283.0101261,283.0101261,283.3091648,left,-10,1,1,0.7742335,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
195,0.5,10,283.8087111,284.3092388,284.3092388,284.3092388,284.6098534,right,10,1,1,0.6106946,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
196,0.5,9.5,284.9427268,285.4416659,285.4416659,285.4579683,285.7407311,left,-9.5,1,1,0.6158008,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
197,0.5,9.5,286.0759342,286.5760186,286.5760186,286.5760186,286.875997,left,-9.5,1,1,0.5418706,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
198,0.5,9.5,287.1423759,287.6419374,287.6419374,287.6419374,287.9426471,right,9.5,1,1,0.490101,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
199,0.5,9,288.1585682,288.659417,288.659417,288.659417,288.9731483,right,9,1,1,0.4656338,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
,,,,,,,,,,,,,,,,,,
,,,,,,,,average threshold intensity,-2.818181818,,,,,,,,,
